Features,Silhouette Score
All features (KMeans),0.45895672606458876
All features (DBSCAN),0.3261586000282511
No Gender (KMeans),0.3533307600350101
No Gender (DBSCAN),0.42479777502107674
No Age (KMeans),0.47363523886584846
No Age (DBSCAN),0.319785342391798
Income + Spending (KMeans),0.35374964532033915
Income + Spending (DBSCAN),-1.0
Gender + Spending (KMeans),0.5781116730079937
Gender + Spending (DBSCAN),0.48232345155743905
Gender + Age (KMeans),0.6029009376358618
Gender + Age (DBSCAN),0.5682079004223303
Age + Income (KMeans),0.43918670441223945
Age + Income (DBSCAN),-1.0
